ts, default broker, CrocodileAgent, SPOT, COLDPower18, EWIIS3, VidyutVanika, AgentUDE, total
359, 57515, 0, 0, 0, 0, 0, 0, 57515
360, 57515, 0, 0, 0, 0, 0, 0, 57515
361, 8, 2068, 7, 0, 35, 11300, 44097, 57515
367, 9, 2071, 5, 0, 31, 11295, 44104, 57515
373, 8, 2076, 5, 0, 24, 11293, 44109, 57515
379, 6, 2071, 5, 0, 34, 11293, 44106, 57515
385, 6, 2074, 5, 0, 33, 11292, 44105, 57515
391, 6, 2074, 4, 0, 35, 11291, 44105, 57515
397, 7, 2071, 5, 0, 35, 11292, 44105, 57515
403, 7, 2316, 2617, 0, 22766, 27814, 1995, 57515
409, 2, 2317, 2827, 0, 19589, 30749, 2031, 57515
415, 3, 2318, 2826, 0, 18339, 31903, 2126, 57515
421, 5, 2316, 2856, 0, 16986, 33228, 2124, 57515
427, 3, 2323, 2977, 0, 14842, 35226, 2144, 57515
433, 2, 1733, 591, 0, 13972, 38983, 2234, 57515
439, 4, 1192, 621, 0, 13057, 40408, 2233, 57515
445, 12, 1044, 851, 0, 13058, 42500, 50, 57515
451, 11, 815, 881, 0, 12441, 43245, 122, 57515
457, 7, 636, 987, 0, 11691, 44080, 114, 57515
463, 7, 560, 1018, 0, 10937, 44880, 113, 57515
469, 7, 572, 1050, 0, 9929, 45813, 144, 57515
475, 7, 622, 890, 0, 9130, 46722, 144, 57515
481, 6, 533, 894, 0, 8832, 47103, 147, 57515
487, 6, 627, 842, 0, 8014, 48000, 26, 57515
493, 4, 723, 581, 0, 6594, 49584, 29, 57515
499, 5, 1321, 469, 0, 5518, 50171, 31, 57515
505, 6, 2192, 410, 0, 4301, 50576, 30, 57515
511, 3, 3718, 380, 0, 3646, 49736, 32, 57515
517, 2, 4815, 307, 0, 2597, 49755, 39, 57515
523, 2, 6170, 217, 0, 1957, 49125, 44, 57515
529, 13, 6598, 192, 0, 1445, 49261, 6, 57515
535, 14, 7415, 162, 0, 1202, 48715, 7, 57515
541, 14, 7544, 112, 0, 941, 48898, 6, 57515
547, 12, 7675, 230, 0, 924, 48667, 7, 57515
553, 12, 7645, 590, 0, 785, 48361, 122, 57515
559, 12, 7459, 865, 0, 727, 48330, 122, 57515
565, 12, 7349, 1693, 0, 729, 47489, 243, 57515
571, 12, 6998, 1731, 0, 678, 48090, 6, 57515
577, 12, 6651, 1920, 0, 638, 48288, 6, 57515
583, 12, 5818, 2064, 0, 589, 49026, 6, 57515
589, 13, 4871, 2122, 0, 505, 49998, 6, 57515
595, 11, 4431, 2119, 0, 487, 50458, 9, 57515
601, 9, 3911, 2156, 0, 425, 51005, 9, 57515
607, 9, 3258, 1780, 0, 405, 52053, 10, 57515
613, 10, 2349, 1643, 0, 377, 53100, 36, 57515
619, 12, 1709, 1145, 0, 358, 54255, 36, 57515
625, 12, 1253, 964, 0, 337, 54771, 178, 57515
631, 12, 921, 868, 0, 318, 55216, 180, 57515
637, 11, 682, 958, 0, 307, 55358, 199, 57515
643, 10, 773, 916, 0, 288, 55328, 200, 57515
649, 11, 712, 223, 0, 286, 56082, 201, 57515
655, 12, 745, 224, 0, 252, 56233, 49, 57515
661, 12, 854, 224, 0, 218, 56186, 21, 57515
667, 11, 1191, 223, 0, 218, 55845, 27, 57515
673, 9, 2366, 223, 0, 217, 54674, 26, 57515
679, 9, 3386, 223, 0, 207, 53655, 35, 57515
685, 11, 4295, 222, 0, 200, 52752, 35, 57515
691, 12, 5793, 108, 0, 194, 51370, 38, 57515
697, 11, 6755, 110, 0, 204, 50419, 16, 57515
703, 11, 7253, 90, 0, 197, 49949, 15, 57515
709, 12, 7520, 92, 0, 197, 49680, 14, 57515
715, 13, 7632, 83, 0, 196, 49451, 140, 57515
721, 13, 7679, 502, 0, 198, 48950, 173, 57515
727, 11, 7664, 737, 0, 199, 48728, 176, 57515
733, 10, 7519, 1091, 0, 205, 48490, 200, 57515
739, 11, 7400, 1076, 0, 199, 48771, 58, 57515
745, 10, 6651, 1166, 0, 198, 49443, 47, 57515
751, 10, 5813, 1226, 0, 196, 50233, 37, 57515
757, 10, 5452, 1227, 0, 198, 50591, 37, 57515
763, 9, 4321, 1295, 0, 200, 51650, 40, 57515
769, 10, 2899, 1457, 0, 312, 52795, 42, 57515
