ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, EWIIS3, AgentUDE, total
359, 57515, 0, 0, 0, 0, 0, 0, 57515
360, 57515, 0, 0, 0, 0, 0, 0, 57515
361, 7, 3, 2, 0, 7097, 214, 50192, 57515
367, 5, 1, 1, 0, 7096, 124, 50288, 57515
373, 6, 5, 1, 0, 7094, 117, 50292, 57515
379, 7, 7, 1, 0, 7092, 118, 50290, 57515
385, 8, 5, 2, 0, 7092, 86, 50322, 57515
391, 6, 5, 3, 0, 7092, 82, 50327, 57515
397, 6, 4, 5, 0, 7092, 80, 50328, 57515
403, 4, 6, 2872, 0, 30375, 19648, 4610, 57515
409, 4, 5, 3511, 0, 33123, 19129, 1743, 57515
415, 3, 3, 3642, 0, 34651, 17844, 1372, 57515
421, 4, 42, 3748, 0, 35649, 16642, 1430, 57515
427, 4, 79, 4073, 0, 37006, 14910, 1443, 57515
433, 3, 79, 4194, 0, 37900, 13893, 1446, 57515
439, 1, 208, 4376, 0, 39518, 12025, 1387, 57515
445, 0, 385, 3593, 0, 43546, 9858, 133, 57515
451, 2, 831, 2745, 0, 46271, 7582, 84, 57515
457, 0, 1385, 2422, 0, 47347, 6291, 70, 57515
463, 0, 1881, 1883, 0, 48669, 5006, 76, 57515
469, 0, 2260, 1616, 0, 49376, 4179, 84, 57515
475, 0, 2917, 1252, 0, 49890, 3374, 82, 57515
481, 2, 3614, 985, 0, 49766, 3060, 88, 57515
487, 2, 5215, 788, 0, 48898, 2531, 81, 57515
493, 0, 5528, 664, 0, 49011, 2143, 169, 57515
499, 2, 5617, 988, 0, 48568, 2055, 285, 57515
505, 1, 5606, 1808, 0, 47480, 1997, 623, 57515
511, 0, 5583, 3048, 0, 45936, 1987, 961, 57515
517, 0, 5446, 6176, 0, 42242, 1680, 1971, 57515
523, 3, 5192, 6587, 0, 41877, 1568, 2288, 57515
529, 1, 4811, 7007, 0, 43252, 1353, 1091, 57515
535, 0, 4460, 7343, 0, 43427, 1249, 1036, 57515
541, 0, 4224, 7428, 0, 43671, 1152, 1040, 57515
547, 0, 3880, 7323, 0, 44137, 935, 1240, 57515
553, 0, 3493, 7242, 0, 44646, 773, 1361, 57515
559, 3, 2614, 6122, 0, 46793, 689, 1294, 57515
565, 2, 2035, 5732, 0, 47619, 633, 1494, 57515
571, 1, 1100, 5429, 0, 49907, 508, 570, 57515
577, 0, 762, 5313, 0, 49876, 379, 1185, 57515
583, 0, 481, 4466, 0, 50925, 380, 1263, 57515
589, 1, 605, 4285, 0, 50748, 378, 1498, 57515
595, 1, 661, 4236, 0, 50459, 349, 1809, 57515
601, 0, 1580, 3385, 0, 50098, 321, 2131, 57515
607, 0, 2301, 2620, 0, 50765, 300, 1529, 57515
613, 2, 2690, 1868, 0, 52580, 279, 96, 57515
619, 2, 3699, 1389, 0, 52081, 279, 65, 57515
625, 3, 4382, 1019, 0, 51825, 223, 63, 57515
631, 3, 5217, 779, 0, 51233, 221, 62, 57515
637, 1, 5860, 587, 0, 50784, 221, 62, 57515
643, 2, 6174, 487, 0, 50572, 217, 63, 57515
649, 1, 7240, 386, 0, 49634, 190, 64, 57515
655, 0, 8747, 149, 0, 48354, 187, 78, 57515
661, 0, 9035, 260, 0, 47954, 183, 83, 57515
667, 0, 8997, 866, 0, 47206, 183, 263, 57515
673, 0, 8604, 2175, 0, 45696, 179, 861, 57515
679, 4, 8362, 3000, 0, 44790, 180, 1179, 57515
685, 1, 7526, 5089, 0, 42195, 179, 2525, 57515
691, 0, 6846, 5861, 0, 41978, 180, 2650, 57515
697, 2, 6405, 6633, 0, 44018, 184, 273, 57515
703, 2, 5998, 6638, 0, 44561, 184, 132, 57515
709, 3, 5013, 6638, 0, 45464, 182, 215, 57515
715, 3, 4491, 6789, 0, 45833, 183, 216, 57515
721, 1, 4040, 6573, 0, 46500, 184, 217, 57515
727, 1, 2917, 5693, 0, 48441, 187, 276, 57515
733, 1, 1977, 5405, 0, 49637, 187, 308, 57515
739, 1, 1677, 4826, 0, 50426, 187, 398, 57515
745, 1, 1267, 916, 0, 53622, 187, 1522, 57515
751, 1, 1027, 916, 0, 53772, 190, 1609, 57515
757, 1, 808, 1057, 0, 53247, 187, 2215, 57515
763, 1, 912, 1061, 0, 52952, 187, 2402, 57515
