ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, EWIIS3, AgentUDE, Bunnie, total
359, 57502, 0, 0, 0, 0, 0, 0, 0, 57502
360, 57502, 0, 0, 0, 0, 0, 0, 0, 57502
361, 1, 1406, 3, 0, 12296, 105, 27665, 16026, 57502
367, 0, 1403, 5, 0, 12292, 94, 27680, 16028, 57502
373, 0, 1403, 6, 0, 12344, 96, 31431, 12222, 57502
379, 0, 1403, 7, 0, 12343, 89, 33233, 10427, 57502
385, 0, 1403, 5, 0, 12343, 109, 34549, 9093, 57502
391, 0, 1403, 6, 0, 12343, 99, 35692, 7959, 57502
397, 0, 1403, 5, 0, 12373, 78, 36609, 7034, 57502
403, 0, 1373, 6, 0, 12527, 538, 3925, 39133, 57502
409, 0, 1373, 4, 0, 12589, 158, 1193, 42185, 57502
415, 0, 1352, 3, 0, 13037, 113, 1034, 41963, 57502
421, 0, 1353, 4, 0, 13277, 362, 1270, 41236, 57502
427, 0, 1335, 3, 0, 13856, 253, 1491, 40564, 57502
433, 1, 135, 2, 0, 9115, 216, 1748, 46285, 57502
439, 1, 5, 2, 0, 8657, 372, 2202, 46263, 57502
445, 1, 4, 2, 0, 8686, 391, 33, 48385, 57502
451, 1, 2, 133, 0, 8686, 454, 167, 48059, 57502
457, 1, 2, 133, 0, 8795, 362, 166, 48043, 57502
463, 1, 2, 133, 0, 8911, 265, 265, 47925, 57502
469, 1, 140, 133, 0, 9018, 198, 405, 47607, 57502
475, 1, 139, 133, 0, 8928, 166, 407, 47728, 57502
481, 1, 141, 133, 0, 9015, 161, 682, 47369, 57502
487, 1, 142, 132, 0, 9257, 153, 144, 47673, 57502
493, 1, 550, 82, 0, 12134, 107, 144, 44484, 57502
499, 1, 1263, 73, 0, 13334, 100, 145, 42586, 57502
505, 1, 1820, 72, 0, 15702, 95, 144, 39668, 57502
511, 1, 2704, 73, 0, 17358, 91, 144, 37131, 57502
517, 1, 3367, 74, 0, 20784, 85, 143, 33048, 57502
523, 1, 4113, 73, 0, 23177, 84, 145, 29909, 57502
529, 1, 5119, 32, 0, 24935, 85, 78, 27252, 57502
535, 1, 5240, 32, 0, 25054, 85, 213, 26877, 57502
541, 0, 5222, 2, 0, 24761, 86, 211, 27220, 57502
547, 0, 5248, 1, 0, 24607, 86, 222, 27338, 57502
553, 0, 5217, 1, 0, 24364, 86, 225, 27609, 57502
559, 0, 5158, 0, 0, 23734, 85, 224, 28301, 57502
565, 0, 4977, 0, 0, 23196, 83, 223, 29023, 57502
571, 0, 4716, 0, 0, 21880, 83, 16, 30807, 57502
577, 0, 4124, 70, 0, 20033, 82, 21, 33172, 57502
583, 1, 3898, 70, 0, 19401, 80, 23, 34029, 57502
589, 1, 3022, 70, 0, 16855, 81, 24, 37449, 57502
595, 1, 2402, 70, 0, 15325, 81, 26, 39597, 57502
601, 1, 1702, 70, 0, 13325, 71, 129, 42204, 57502
607, 1, 1473, 70, 0, 12312, 70, 130, 43446, 57502
613, 1, 1033, 70, 0, 11062, 70, 21, 45245, 57502
619, 1, 614, 165, 0, 9923, 70, 21, 46708, 57502
625, 1, 473, 165, 0, 8595, 70, 25, 48173, 57502
631, 1, 472, 165, 0, 8263, 71, 164, 48366, 57502
637, 1, 262, 135, 0, 8135, 68, 165, 48736, 57502
643, 2, 262, 95, 0, 8013, 63, 162, 48905, 57502
649, 2, 201, 95, 0, 7843, 63, 162, 49136, 57502
655, 1, 171, 95, 0, 8109, 64, 8, 49054, 57502
661, 0, 547, 175, 0, 11928, 64, 10, 44778, 57502
667, 0, 1049, 175, 0, 13633, 62, 12, 42571, 57502
673, 0, 1815, 175, 0, 15419, 64, 12, 40017, 57502
679, 1, 3353, 80, 0, 21617, 62, 8, 32381, 57502
685, 1, 5139, 81, 0, 29031, 60, 9, 23181, 57502
691, 0, 6791, 81, 0, 33902, 46, 7, 16675, 57502
697, 0, 7489, 81, 0, 36445, 46, 7, 13434, 57502
703, 0, 7438, 1, 0, 36928, 46, 8, 13081, 57502
709, 0, 7326, 1, 0, 36929, 46, 6, 13194, 57502
715, 0, 7324, 31, 0, 36851, 46, 10, 13240, 57502
721, 0, 7325, 31, 0, 36743, 45, 6, 13352, 57502
727, 0, 7326, 30, 0, 36581, 34, 13, 13518, 57502
733, 0, 6931, 30, 0, 35314, 34, 12, 15181, 57502
739, 0, 6341, 30, 0, 30947, 26, 11, 20147, 57502
745, 0, 5576, 30, 0, 29021, 27, 14, 22834, 57502
751, 0, 4135, 89, 0, 23161, 26, 74, 30017, 57502
757, 0, 2375, 89, 0, 15889, 24, 148, 38977, 57502
763, 0, 762, 59, 0, 10701, 24, 145, 45811, 57502
769, 0, 47, 59, 0, 8552, 22, 145, 48677, 57502
775, 0, 1, 195, 0, 7771, 15, 143, 49377, 57502
781, 0, 1, 180, 0, 7664, 17, 10, 49630, 57502
787, 0, 0, 180, 0, 7885, 18, 6, 49413, 57502
793, 0, 0, 0, 0, 7885, 18, 7, 49592, 57502
799, 0, 1, 0, 0, 7814, 16, 11, 49660, 57502
805, 0, 1, 0, 0, 7723, 16, 13, 49749, 57502
811, 0, 1, 0, 0, 7453, 16, 13, 50019, 57502
817, 0, 1, 1, 0, 7871, 17, 14, 49598, 57502
823, 0, 1, 1, 0, 8311, 20, 6, 49163, 57502
829, 0, 1, 2, 0, 10914, 18, 6, 46561, 57502
835, 0, 931, 1, 0, 13793, 18, 5, 42754, 57502
841, 0, 1721, 0, 0, 15443, 18, 5, 40315, 57502
847, 0, 2129, 0, 0, 16148, 19, 5, 39201, 57502
853, 0, 3404, 1, 0, 18981, 18, 5, 35093, 57502
859, 0, 4006, 1, 0, 20593, 18, 6, 32878, 57502
865, 0, 4168, 0, 0, 28552, 20, 3, 24759, 57502
871, 0, 4355, 0, 0, 48994, 19, 3, 4131, 57502
877, 0, 4355, 0, 0, 51783, 8, 4, 1352, 57502
883, 0, 4335, 0, 0, 51906, 7, 4, 1250, 57502
889, 0, 4235, 0, 0, 52482, 8, 3, 774, 57502
895, 0, 4310, 0, 0, 20308, 7, 16, 32861, 57502
901, 0, 4120, 1, 0, 21122, 6, 4, 32249, 57502
907, 0, 2782, 1, 0, 49398, 6, 3, 5312, 57502
913, 0, 1860, 1, 0, 54832, 8, 4, 797, 57502
919, 1, 1785, 0, 0, 15466, 7, 78, 40165, 57502
925, 1, 1386, 0, 0, 15956, 6, 48, 40105, 57502
931, 1, 1156, 0, 0, 22457, 5, 22, 33861, 57502
937, 1, 327, 1, 0, 49944, 4, 11, 7214, 57502
943, 2, 76, 1, 0, 55288, 6, 9, 2120, 57502
949, 1, 76, 1, 0, 55998, 7, 5, 1414, 57502
955, 0, 77, 2, 0, 56457, 6, 5, 955, 57502
961, 0, 76, 1, 0, 56176, 7, 5, 1237, 57502
967, 0, 76, 2, 0, 7786, 7, 35, 49596, 57502
973, 0, 2, 2, 0, 8869, 6, 16, 48607, 57502
979, 0, 2, 2, 0, 48963, 7, 16, 8512, 57502
985, 0, 2, 12, 0, 50899, 6, 18, 6565, 57502
991, 1, 1, 2, 0, 51038, 7, 5, 6448, 57502
997, 1, 1, 0, 0, 51239, 6, 6, 6249, 57502
1003, 0, 124, 0, 0, 51185, 6, 8, 6179, 57502
1009, 0, 215, 0, 0, 55089, 9, 7, 2182, 57502
1015, 0, 266, 0, 0, 55452, 10, 12, 1762, 57502
1021, 0, 425, 0, 0, 55656, 10, 6, 1405, 57502
1027, 0, 425, 0, 0, 56254, 12, 6, 805, 57502
1033, 0, 425, 0, 0, 56183, 10, 6, 878, 57502
1039, 2, 425, 0, 0, 56202, 7, 7, 859, 57502
1045, 1, 425, 0, 0, 56394, 6, 8, 668, 57502
1051, 0, 426, 0, 0, 55929, 6, 7, 1134, 57502
1057, 0, 426, 0, 0, 55669, 6, 7, 1394, 57502
1063, 0, 427, 0, 0, 13856, 5, 62, 43152, 57502
1069, 0, 367, 0, 0, 14990, 6, 32, 42107, 57502
1075, 0, 163, 0, 0, 52356, 7, 15, 4961, 57502
1081, 0, 163, 0, 0, 55718, 7, 5, 1609, 57502
1087, 1, 161, 0, 0, 13118, 7, 57, 44158, 57502
1093, 1, 1, 0, 0, 14560, 7, 23, 42910, 57502
1099, 1, 1, 0, 0, 51114, 5, 12, 6369, 57502
1105, 0, 1, 2, 0, 55275, 6, 10, 2208, 57502
1111, 0, 1, 2, 0, 55814, 5, 9, 1671, 57502
1117, 0, 1, 2, 0, 55915, 5, 5, 1574, 57502
1123, 1, 1, 0, 0, 56274, 6, 6, 1214, 57502
1129, 1, 1, 0, 0, 55960, 5, 6, 1529, 57502
1135, 2, 0, 0, 0, 7680, 5, 28, 49787, 57502
1141, 1, 0, 0, 0, 8207, 7, 22, 49265, 57502
1147, 2, 0, 1, 0, 18568, 7, 15, 38909, 57502
1153, 2, 0, 0, 0, 32312, 6, 14, 25168, 57502
1159, 2, 0, 0, 0, 38269, 6, 9, 19216, 57502
1165, 2, 0, 0, 0, 42448, 6, 9, 15037, 57502
1171, 3, 0, 0, 0, 43850, 5, 11, 13633, 57502
1177, 3, 256, 0, 0, 45690, 6, 13, 11534, 57502
1183, 3, 478, 0, 0, 48338, 5, 11, 8667, 57502
1189, 3, 509, 0, 0, 50538, 5, 7, 6440, 57502
1195, 2, 541, 0, 0, 51515, 5, 6, 5433, 57502
1201, 2, 791, 0, 0, 51328, 5, 12, 5364, 57502
1207, 2, 791, 0, 0, 52028, 6, 12, 4663, 57502
1213, 1, 790, 0, 0, 53171, 7, 9, 3524, 57502
1219, 0, 789, 0, 0, 53631, 7, 9, 3066, 57502
1225, 0, 789, 0, 0, 53645, 7, 11, 3050, 57502
1231, 0, 789, 1, 0, 12280, 10, 39, 44383, 57502
1237, 0, 699, 1, 0, 15034, 10, 15, 41743, 57502
1243, 0, 605, 0, 0, 50482, 10, 4, 6401, 57502
1249, 0, 463, 0, 0, 55281, 10, 6, 1742, 57502
1255, 0, 312, 0, 0, 14044, 9, 22, 43115, 57502
1261, 0, 284, 0, 0, 15707, 7, 8, 41496, 57502
1267, 0, 224, 0, 0, 50191, 7, 9, 7071, 57502
1273, 0, 14, 0, 0, 55948, 7, 8, 1525, 57502
1279, 1, 2, 1, 0, 56030, 5, 10, 1453, 57502
1285, 1, 2, 1, 0, 56508, 6, 3, 981, 57502
1291, 1, 0, 1, 0, 56637, 6, 5, 852, 57502
1297, 2, 2, 0, 0, 56768, 6, 11, 713, 57502
1303, 2, 4, 142, 0, 7643, 5, 34, 49672, 57502
1309, 3, 4, 132, 0, 7936, 4, 23, 49400, 57502
1315, 4, 3, 120, 0, 19862, 3, 18, 37492, 57502
1321, 2, 93, 0, 0, 29493, 3, 13, 27898, 57502
1327, 1, 93, 0, 0, 33966, 5, 3, 23434, 57502
1333, 1, 147, 1, 0, 41907, 5, 3, 15438, 57502
